ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
Bmw 520;Bosanska Krupa;Korišteno;BMW;520;2011;28;4;Dizel;2.0;125;;;1;;3909;2022-06-30;2020-10-25;0;22000
Mercedes-Benz B 150;Banja Luka;Korišteno;Mercedes-Benz;B 150;2005;137000;4;Benzin;1.5;70;;Euro 4;1;;2337;2022-04-25;2020-10-25;0;9000
Kia Rio;Gradiška;Korišteno;Kia;Rio;2012;138000;2;Benzin;1.2;55;;;1;;3307;2022-06-20;2020-10-26;0;12500
Škoda Fabia 1.6 TDI 55kW 2013;Pale;Korišteno;Škoda;Fabia;2013;83000;4;Dizel;1.6;55;;;1;;4905;2022-05-02;2020-10-26;0;12500
Mercedes-Benz C 200 hiitnoo!;Banja Luka;Korišteno;Mercedes-Benz;C 200;2000;280000;4;Dizel;2.2;150;;;1;;1170;2022-09-01;2020-10-26;0;4499
Ford focus 1.6 tdci 2015 H I T N O !;Banja Luka;Korišteno;Ford;Focus;2015;180000;4;Dizel;1.6;85;115;;1;;6051;2022-06-09;2020-10-26;0;16999
Opel Astra;Sanski Most;Korišteno;Opel;Astra;2006;280000;4;Dizel;1.7;74;;;1;;160;2022-04-19;2020-10-26;0;5700
Bmw 320d - E91 - BUSINESS;Čapljina;Korišteno;BMW;320;2009;200000;4;Dizel;2.0;120;163;Euro 5;;;11151;2022-04-19;2020-10-26;0;10987
Golf 1 - 1.6 dizel;Čapljina;Korišteno;Volkswagen;Golf;1982;213000;4;Dizel;1.6;45;;Euro 1;;;13115;2022-04-25;2020-10-26;0;3999
Peugeot 308 1.6hdi 68kw 2015 115 000km;Banja Luka;Korišteno;Peugeot;308;2015;115625;4;Dizel;1.6;68;92;Euro 6;1;;10133;2022-04-17;2020-10-27;1;15300
Mercedes-Benz E 220 90kw 2003god;Ugljevik;Korišteno;Mercedes-Benz;E 220;2003;275000;4;Dizel;2.2;90;;;1;;2139;2022-04-25;2020-10-27;0;11000
Opel Astra;Sarajevo, Novi Grad;Korišteno;Opel;Astra;2008;194000;2;Plin;1.6;85;105;Euro 4;1;;3730;2022-04-24;2020-10-28;0;6500
Citroen Xsara 1.9d;Prijedor;Korišteno;Citroen;Xsara;2002;300000;4;Dizel;1.9;51;;;1;;6957;2022-04-25;2020-10-28;0;2100
Mercedes B180 CDI W245;Tešanj;Korišteno;Mercedes-Benz;B 180;2010;269000;4;Dizel;1.8;80;109;Euro 5;1;;8688;2022-05-13;2020-10-28;0;10700
Opel Corsa 3.2;Tuzla;Korišteno;Opel;Corsa;1996;5;2;Benzin;3.2;200;;;;;11767;2022-05-09;2020-10-28;0;4500
Audi A6;Fojnica;Korišteno;Audi;A6;2010;254;4;Dizel;2.7;140;;;1;;4170;2022-05-09;2020-10-28;0;19900
Opel Corsa 1.3 CDTI;Doboj;Korišteno;Opel;Corsa;2006;183000;2;Dizel;1.3;51;;;1;;5611;2022-04-20;2020-10-29;0;5700
Ford smax;Brčko;Korišteno;Ford;S-Max;2008;240000;4;Dizel;2.0;100;140;Euro 4;1;;6721;2022-04-18;2020-10-29;0;9000
Opel Astra;Vogošća;Korišteno;Opel;Astra;1999;250000;4;Dizel;2.0;60;;Euro 3;1;;4789;2022-05-06;2020-10-29;0;2900
VW Passat 6 / B6 BlueMotion, 2010g 1.6TDI 77KW;Doboj;Korišteno;Volkswagen;Passat;2010;279350;4;Dizel;1.6;77;105;Euro 5;1;;2905;2022-04-28;2020-10-29;0;11500
Golf 7 1.6 81kw KOZA;Stanari;Korišteno;Volkswagen;Golf;2013;218000;4;Dizel;1.6;81;110;Euro 5;;;8152;2022-05-01;2022-05-01;0;19650
Volkswagen Golf 7 VII GTI Performance;Brčko;Korišteno;Volkswagen;Golf;2013;235000;4;Benzin;2.0;169;230;Euro 6;;;45077;2022-05-11;2020-10-30;1;28000
