ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
2013 Hyundai Santa Fe Sport;;Korišteno;Hyundai;Santa Fe;2013;62160;4;Benzin;2.4;;190;;;;59935;2022-06-01;2022-06-01;0;28000
Citroen dijana 6 - Oldtimer;Tešanj;Korišteno;Citroen;2 CV;1978;66000;4;Benzin;0.8;23;32;;1;;37203;2022-05-02;2022-05-02;0;12000
Mercedes 190 2.0;Posušje;Korišteno;Mercedes-Benz;200;1990;141000;4;Benzin;2.0;66;;;;;34926;2022-04-17;2022-04-17;1;6500
Mercedes 124 300d;Posušje;Korišteno;Mercedes-Benz;E 300;1992;176826;4;Dizel;3.0;;;;;;58663;2022-05-11;2022-05-11;1;13000
Golf 1 DIZEL;Posušje;Korišteno;Volkswagen;Golf;1983;165943;4;Dizel;1.6;;;;;;21439;2022-05-11;2022-05-11;1;4500
Mercedes W210 E 2.7 CDI Avantgarde;Novi Travnik;Korišteno;Mercedes-Benz;E 270;2001;310000;4;Dizel;2.7;125;170;Euro 4;1;;15022;2022-04-17;2022-04-16;0;5800
Renault laguna grand tour 2.0 T 16v PLIN;Zenica;Korišteno;Renault;Laguna;2004;220000;4;Plin;2.0;120;;Euro 3;1;;13941;2022-06-10;2022-06-10;0;7700
Ford granada;;Korišteno;Ford;Granada;1982;200000;4;Benzin;2.0;74;;;1;;21888;2022-04-27;2022-04-27;0;4500
Saab 9-3 2,2 tid;Zenica;Korišteno;Saab;9-3;2001;228000;2;Dizel;2.2;92;125;Euro 3;;;15710;2022-05-30;2022-05-30;0;4200
Citroen C3 Pluriel 1.4hdi 2005gp;Visoko;Korišteno;Citroen;C3 Pluriel;2005;200000;2;Dizel;1.4;40;50;;1;;16274;2022-06-17;2022-06-17;0;5500
BMW E30 325i M-Technic Full oprema;Grad Mostar;Korišteno;BMW;325;1987;200000;4;Benzin;2.7;;200;;1;;220675;2022-06-10;2022-06-10;0;19900
Džip kampanjola AR/55;Živinice;Korišteno;Fiat;Campagnola;0;10;2;Dizel;1.5;37;;;;;61674;2022-08-04;2022-08-04;0;15000
Apal Buggy L;Čapljina;Korišteno;Volkswagen;Buggy;1967;36000;2;Benzin;1.3;32;43;;;;28569;2022-09-04;2022-09-04;0;16500
Mercedes 123;Banja Luka;Korišteno;Mercedes-Benz;200;1983;1000000;4;Dizel;2.0;44;60;Euro 0;1;;45393;2022-05-15;2022-05-15;0;5000
Honda CRV CR-V;Laktaši;Korišteno;Honda;CR-V;2005;235000;4;Plin;2.4;110;;;1;;50191;2022-09-11;2022-09-11;1;9300
Karavan palio BLUKA 33hkm presao, 1vlasnik!;;Korišteno;Fiat;Palio;2000;33000;4;Benzin;1.2;77;;;1;;4494;2022-06-06;2022-06-06;0;2990
BMW E46 320d -TOURING;Grad Mostar;Korišteno;BMW;320;2001;280000;4;Dizel;2.0;100;136;Euro 3;1;;34883;2022-05-01;2022-05-01;0;6000
Touran 2.0 tdi;Cazin;Korišteno;Volkswagen;Touran;2004;170000;2;Dizel;2.0;103;140;Euro 4;1;;28360;2022-05-03;2022-05-03;0;7800
Pasat 3;Ugljevik;Korišteno;Volkswagen;Passat;1989;300000;4;Benzin;1.8;66;66;;1;;28952;2022-04-22;2022-04-22;0;900
Passat karavan;Fojnica;Korišteno;Volkswagen;Passat;1999;240000;4;Dizel;1.9;85;110;Euro 3;1;;12651;2022-04-18;2022-04-18;0;4700
Passat 5+;Sarajevo, Novi Grad;Korišteno;Volkswagen;Passat;2002;305000;4;Dizel;1.9;96;131;Euro 3;1;;10127;2022-06-04;2022-06-04;0;5300
Bmw 735;Bijeljina;Korišteno;BMW;735;1992;190000;4;Benzin;3.5;155;;;;;35891;2022-08-04;2022-08-04;0;14750
WV T4 putnički multivan;Ljubuški;Korišteno;Volkswagen;T4 Multivan;1992;550000;4;Benzin;2.5;81;115;;1;;31399;2022-05-07;2022-05-07;0;14000
Audi A4;Pale;Korišteno;Audi;A4;1998;345000;4;Benzin;1.8;92;127;Euro 3;1;;40541;2022-06-07;2022-06-07;0;3500
Peugeot 406 automatic 2,0 hdi;Brčko;Korišteno;Peugeot;406;2003;134000;4;Dizel;2.0;79;109;;1;;19897;2022-05-05;2022-05-05;0;8500
Terenac SSangyong Kyron 2,7 XDI;Sarajevo, Novi Grad;Korišteno;Ssangyong;Kyron;2008;106000;4;Dizel;2.7;121;145;;1;;14374;2022-06-12;2022-06-12;0;12900
Peugeot 207 HDI 1.4;Novo Sarajevo;Korišteno;Peugeot;207;2011;37500;4;Dizel;1.4;50;70;;1;;9606;2022-04-24;2022-04-24;0;16700
MERCEDES 115 MINIKA 200 D 1974 g;Vitez;Korišteno;Mercedes-Benz;200;1974;333000;4;Dizel;2.0;55;;Euro 1;1;;12576;2022-04-29;2022-04-29;0;10000
Nissan Sunny;Stari Grad;Korišteno;Nissan;Sunny;1991;127500;4;Benzin;1.4;55;;Euro 3;;;9771;2022-04-19;2022-04-19;0;1990
DACIA LOGAN,1.4mpi 2006.god. benzin/plin;Doboj;Korišteno;Dacia;Logan;2006;306000;4;Plin;1.4;55;;;1;;13261;2022-09-11;2022-09-11;0;2700
Opel vectra;Foča;Korišteno;Opel;Vectra;1998;180000;4;Benzin;1.6;74;101;;1;;15079;2022-07-01;2022-07-01;0;2300
Peugeot 807 20 hdi automatik;Brčko;Korišteno;Peugeot;807;2004;197000;4;Dizel;2.0;80;110;;1;;15861;2022-05-05;2022-05-05;0;8900
Fiat Multipla 1.9D;Doboj;Korišteno;Fiat;Multipla;2001;180000;4;Dizel;1.9;81;;;1;;18124;2022-05-07;2022-05-07;0;3900
Bmw x5 registrovan punu godinu dana;Banja Luka;Korišteno;BMW;X5;2005;300000;4;Dizel;3.0;160;;;1;;15509;2022-05-17;2022-05-17;0;17999
Mercedes R 350;Bihać;Korišteno;Mercedes-Benz;R 350;2006;146000;4;Benzin;3.5;200;272;;1;;68262;2022-04-28;2022-04-28;0;39900
Audi Q7 Model 2008;Živinice;Korišteno;Audi;Q7;2008;313000;4;Dizel;4.2;240;330;Euro 4;1;;8967;2022-07-22;2022-07-22;0;20990
Citroen C4 Grand Picasso 2.0 HDI 7 sj. 2010. Automatik;Sarajevo - Centar;Korišteno;Citroen;Grand C4 Picasso;2010;269000;4;Dizel;2.0;100;136;;1;;7524;2022-04-20;2022-04-20;0;8990
Seat Cordoba;Zvornik;Korišteno;Seat;Cordoba;2000;186560;4;Benzin;1.4;44;60;Euro 3;1;;13747;2022-05-10;2022-05-10;0;3000
Seat alhambra;Banja Luka;Korišteno;Seat;Alhambra;2001;380000;4;Dizel;1.9;85;;Euro 3;1;;12329;2022-05-28;2022-05-28;0;6500
Peugeot 407 sw 2.0 hdi;Zvornik;Korišteno;Peugeot;407;2005;330000;4;Dizel;2.0;100;;;1;;11940;2022-07-07;2022-07-07;0;6500
Audi A4;Doboj;Korišteno;Audi;A4;2008;271000;4;Dizel;2.0;88;;;1;;29831;2022-04-30;2022-04-30;0;13400
WW TAS Buba 1976 oldtimer;Gračanica;Korišteno;Volkswagen;Beetle;1976;70000;2;Benzin;1.2;28;;Euro 0;;;34524;2022-04-25;2022-04-25;0;10000
Audi a4;Gradiška;Korišteno;Audi;A4;1995;350000;4;Dizel;1.9;66;;;1;;26153;2022-07-07;2022-07-07;0;3500
Toyota Avensis T27 2010 godina;Novo Sarajevo;Korišteno;Toyota;Avensis;2010;133000;4;Dizel;2.0;85;126;Euro 5;1;;22762;2022-04-15;2022-04-15;0;17600
BMW E39 525 Diesel 2002 god.;Čapljina;Korišteno;BMW;525;2002;399000;4;Dizel;2.5;120;163;Euro 3;1;;42564;2022-05-20;2022-05-20;0;7250
MERCEDES E 230 OKAS;Ljubuški;Korišteno;Mercedes-Benz;E 230;1996;270000;4;Benzin;2.3;110;150;;1;;34791;2022-04-30;2022-04-30;0;2950
Toyota RAV 4 registrovan do 23.02.2023.godine;Bihać;Korišteno;Toyota;RAV 4;2004;230500;4;Dizel;2.0;85;;;1;;8847;2022-08-15;2022-08-15;0;16400
MERCEDES 206 D 1973 GOD;Vitez;Korišteno;Mercedes-Benz;220;1973;45000;4;Dizel;2.2;40;;Euro 1;;;36402;2022-05-10;2022-05-10;0;7000
Golf 3 americko trziste 18i 97gp;Tomislavgrad;Korišteno;Volkswagen;Golf;1997;220000;4;Benzin;1.8;66;90;;1;;21664;2022-05-09;2022-05-09;0;2700
Mercedes-Benz E-klasa 350 CDI - AMG sport paket , W212;Čitluk;Korišteno;Mercedes-Benz;E 350;2010;196000;4;Dizel;3.0;170;231;Euro 5;1;;38770;2022-05-18;2022-05-18;0;35000
Citroen xsara pikaso;Prnjavor;Korišteno;Citroen;Xsara Picasso;2003;268000;4;Dizel;2.0;66;;;1;;4667;2022-05-25;2022-05-25;0;3800
Golf 6 GTI 2.0 TSI 2011GOD..;Ilidža;Korišteno;Volkswagen;Golf;2011;202000;4;Benzin;2.0;150;;Euro 5;1;;19955;2022-06-06;2022-06-06;0;18000
1,6D Fiesta DIZEL Ford automobil auto u voznom stanju;Brčko;Korišteno;Ford;Fiesta;1985;45000;2;Dizel;1.6;40;;;;;23552;2022-04-17;2022-04-16;0;750
Opel Olympia Rekord B;Šamac;Korišteno;Opel;Rekord;1966;150000;2;Benzin;1.5;;;;;;32613;2022-08-05;2022-08-05;0;2750
Renault Megane (coupe);Srbac;Korišteno;Renault;Megane;2002;200000;2;Dizel;1.9;75;105;Euro 3;1;;18649;2022-07-07;2022-07-07;0;3400
Hundai tukson;Kakanj;Korišteno;Hyundai;Terracan;2005;300;4;Dizel;2.0;85;;;;;3773;2022-05-26;2022-05-26;0;10500
Ford fokus;Prijedor;Korišteno;Ford;Focus;2001;190000;4;Plin;1.6;74;;Euro 3;1;;5712;2022-04-28;2022-04-28;0;5100
Porsche 944;Grad Mostar;Korišteno;Porsche;944;1982;213000;2;Benzin;2.5;120;163;;1;;137619;2022-04-21;2022-04-21;0;9500
AUDI A6 2.7 TDI QUATTRO CIJENA ZA KES;Sarajevo, Novi Grad;Korišteno;Audi;A6;2008;250000;4;Dizel;2.7;132;;Euro 4;1;;34288;2022-05-05;2022-05-05;0;16000
Hummer H2 11 metara. vrhunskog luxuza;;Korišteno;Hummer;H2;2005;140000;4;Benzin;6.0;250;330;Euro 3;1;;146025;2022-05-22;2022-05-22;0;185000
MERCEDES C W203 reg do 16.01.2023;Zenica;Korišteno;Mercedes-Benz;C 200;2003;270000;4;Dizel;2.2;90;;;1;;5133;2022-05-11;2022-05-11;0;6000
Pasat--5 plus., karavan 19-disel..;Derventa;Korišteno;Volkswagen;Passat;2001;160000;4;Dizel;1.9;96;;Euro 3;1;;16772;2022-09-19;2022-09-19;0;4300
BMW 525 TDI /prvi vlasnik u BiH./.zamjena za skuplje;Gračanica;Korišteno;BMW;525;2004;315000;4;Dizel;3.7;137;180;Euro 4;1;;10723;2022-07-01;2022-07-02;0;12000
Škoda 120l;Brčko;Korišteno;Škoda;120;1980;210000;4;Benzin;1.2;55;;;1;;11985;2022-06-29;2022-06-29;0;5000
GOLF 4 1.9 SDI 50 kv. 2000 god.;Gradiška;Korišteno;Volkswagen;Golf;2000;392000;4;Dizel;1.9;50;;Euro 3;1;;23397;2022-05-02;2022-05-02;0;6500
Opel vektra b;Zvornik;Korišteno;Opel;Vectra;1998;390000;4;Dizel;2.0;60;;Euro 2;1;;4853;2022-04-27;2022-04-27;0;4000
VW Volkswagen kombi t5 1.9 TDI;Zenica;Korišteno;Volkswagen;T5 Kombi;2005;345000;4;Dizel;1.9;77;105;Euro 3;1;;11378;2022-04-18;2022-04-18;0;14700
Reno laguna 1,9dizel,ispravna;Hadžići;Korišteno;Renault;Laguna;2003;270000;4;Dizel;1.9;66;;Euro 3;1;;24809;2022-05-09;2022-05-09;0;3250
Mercedes model 2012;Sarajevo, Novi Grad;Korišteno;Mercedes-Benz;E 200;2011;465000;4;Dizel;2.0;100;136;Euro 5;1;;10529;2022-06-22;2022-06-22;0;18900
Bmw e39 528i plin 96g bih papir odjavljen;Tomislavgrad;Korišteno;BMW;528;1996;250000;4;Plin;2.8;147;197;Euro 3;1;;54367;2022-05-09;2022-05-09;0;3999
Mercedes 280se;Bugojno;Korišteno;Mercedes-Benz;S 280;1979;188000;4;Dizel;2.5;55;90;;1;;45247;2022-04-21;2022-04-21;0;10000
RENO SCENIK 19 DCI 88 KV:;Gračanica;Korišteno;Renault;Scenic;2004;247563;4;Dizel;1.9;88;130;Euro 4;1;;5845;2022-05-17;2022-05-17;0;5700
Kadilak bls automatik;Zvornik;Korišteno;Cadillac;BLS;2007;150000;4;Dizel;1.9;110;150;Euro 5;1;;21940;2022-04-17;2022-04-17;0;26000
MAZDA 626 2.0-16V GT;Grude;Korišteno;Mazda;626;1990;280000;4;Benzin;2.0;108;147;Euro 1;;;27087;2022-05-05;2022-05-05;0;6000
Opel astra karavan;Teslić;Korišteno;Opel;Astra;1993;250000;4;Dizel;1.7;44;60;;1;;20705;2022-05-30;2022-05-30;0;850
Audi A8 S8 2,5 tdi 6 brzina manuel;Bijeljina;Korišteno;Audi;A8;1999;248000;4;Dizel;2.5;110;;;;;21557;2022-06-27;2022-06-27;0;4100
Mercedes E 270 CDI Avantgarde W211;Čitluk;Korišteno;Mercedes-Benz;E 270;2003;350000;4;Dizel;2.7;130;177;Euro 3;1;;18444;2022-04-27;2022-04-27;0;12500
Mercedes c180 facelift;Banja Luka;Korišteno;Mercedes-Benz;C 180;2000;250000;4;Benzin;1.8;90;;Euro 3;1;;8885;2022-04-18;2022-04-19;0;4500
Mercedes C180 Esprit 2vlasnik sport paket opreme;Banja Luka;Korišteno;Mercedes-Benz;C 180;1998;230000;4;Benzin;1.8;90;115;Euro 3;1;;19245;2022-04-18;2022-04-19;0;6800
Chevrolet epica 2009 god-FUL-2.0 DIZEL;Sanski Most;Korišteno;Chevrolet;Epica;2009;125000;4;Dizel;2.0;110;;Euro 5;1;;38681;2022-04-19;2022-04-19;1;8950
Volkswagen vw kombi t5 caravelle 2.0;Zenica;Korišteno;Volkswagen;T4 Kombi;2010;250000;4;Dizel;2.0;75;102;Euro 5;1;;33611;2022-04-18;2022-04-18;0;29500
GOLF CABRIO 1,9 TDI;Vitez;Korišteno;Volkswagen;Golf;2000;220000;4;Dizel;1.9;66;;Euro 2;;;28679;2022-04-29;2022-04-29;0;3550
Ford Ka;Teslić;Korišteno;Ford;Ka;2006;104387;2;Benzin;1.3;44;;;;;21111;2022-04-21;2022-04-21;1;2500
Mazda premacy 2,0 dizel;Goražde;Korišteno;Mazda;Premacy;2000;268000;4;Dizel;2.0;66;90;Euro 3;1;;11640;2022-07-05;2022-07-05;0;3200
Citroen Dyane;Sarajevo, Novi Grad;Korišteno;Citroen;2 CV;1975;64000;4;Benzin;0.8;1;;;1;;32896;2022-07-01;2022-07-01;0;10000
Opel frontera;Banovići;Korišteno;Opel;Frontera;2002;300000;2;Dizel;2.2;85;;Euro 3;1;;27804;2022-04-29;2022-04-29;0;10500
Golf 4 sdi auto od manje para prednost diz;Banja Luka;Korišteno;Volkswagen;Golf;1999;597231;4;Dizel;1.9;5;;Euro 2;1;;85146;2022-05-10;2022-05-10;0;3950
Renault scenik rx;Zenica;Korišteno;Renault;Scenic;2001;111000;4;Dizel;1.9;78;;;1;;29955;2022-04-22;2022-04-22;0;5500
Opel Kadett C City;Šamac;Korišteno;Opel;Kadett;1976;123450;2;Benzin;1.2;1;;;;;21046;2022-08-05;2022-08-05;0;2750
Opel Ascona A;Banja Luka;Korišteno;Opel;Ascona;1971;112233;2;Benzin;1.2;123;;;;;31267;2022-08-05;2022-08-05;0;2750
VW Saran 19 tdi AUTOMATIC 2006;Brčko;Korišteno;Volkswagen;Sharan;2007;300000;4;Dizel;1.9;85;116;;1;;25993;2022-05-05;2022-05-05;0;7900
Alfa Romeo 159;Grad Mostar;Korišteno;Alfa Romeo;Alfa 159;2007;225000;4;Dizel;1.9;110;150;Euro 4;1;;14063;2022-04-28;2022-04-28;0;11000
Peugeot 407;Doboj-Jug;Korišteno;Peugeot;407;2005;278000;4;Dizel;2.0;100;136;Euro 4;1;;16964;2022-04-18;2022-04-18;0;4900
Volvo 740 760 ispravan odjavljen 2012;Živinice;Korišteno;Volvo;740;1987;240000;4;Dizel;2.4;60;80;;1;;17333;2022-09-08;2022-09-08;0;1350
Kombi t 4;Kakanj;Korišteno;Volkswagen;Karmann Ghia;1995;1233456;4;Dizel;1.9;46;;;1;;22033;2022-04-23;2022-04-23;0;4500
Volvo v70;Tomislavgrad;Korišteno;Volvo;V70;2000;295000;4;Benzin;2.4;103;140;Euro 3;;;21861;2022-06-07;2022-06-07;0;3000
Audi A8;Čelić;Korišteno;Audi;A8;2010;200000;4;Dizel;4.2;258;;Euro 5;1;;25733;2022-05-07;2022-05-07;0;45000
Renault megane 3 2011god, 1.5 dci, registrovan,08/22;Sarajevo, Novi Grad;Korišteno;Renault;Megane;2011;222354;4;Dizel;1.5;66;80;Euro 5;1;;11163;2022-04-19;2022-04-19;0;8599
Mercedes minika w115;Bratunac;Korišteno;Mercedes-Benz;200;1968;111111;4;Dizel;2.0;60;;;1;;42579;2022-04-29;2022-04-29;0;19500
MERCEDES W203 C180 (CIJENA JE FIKSNA);Kotor Varoš;Korišteno;Mercedes-Benz;C 180;2001;270000;4;Benzin;2.0;92;125;Euro 4;;;34387;2022-05-13;2022-05-13;0;3300
RENAULT MEGANE 1.5 dci / 110KS / 2011g. / Tom Tom;Novo Sarajevo;Korišteno;Renault;Megane;2011;158000;4;Dizel;1.5;81;110;Euro 5;1;;1967;2022-04-24;2022-04-24;0;14300
Fiat Panda;Rogatica;Korišteno;Fiat;Panda;2013;123000;4;Benzin;0.9;48;65;;;;14949;2022-09-04;2022-09-04;0;7700
ALFA SPARK 916 SPIDER;Posušje;Korišteno;Alfa Romeo;Spider;2000;96992;2;Benzin;1.8;106;;;1;;17443;2022-06-24;2022-06-24;1;14000
Ford Galaxy,1.9 TDI.2001.,GHIA .moze zamjena za automat;Tuzla;Korišteno;Ford;Galaxy;2001;330000;4;Dizel;1.9;85;115;Euro 3;1;;12542;2022-07-17;2022-07-17;0;6250
T 5 CARAVELA 25 TDI AUTOMATIC 2006 g;Brčko;Korišteno;Volkswagen;T5 Caravelle;2006;110000;4;Dizel;2.5;128;178;;1;;12653;2022-05-05;2022-05-05;0;15999
BMW E 60 3.0 D;Široki Brijeg;Korišteno;BMW;530;2003;300000;4;Dizel;3.0;163;218;;1;;8201;2022-04-17;2022-04-16;0;15000
MERCEDES C200 KARAVAN!!!hiitno!dogovor cijena!;Laktaši;Korišteno;Mercedes-Benz;C 200;2000;280000;4;Dizel;2.2;173;;;1;;12931;2022-08-11;2022-08-11;0;4999
Citroen XM 2.0 i;Grad Mostar;Korišteno;Citroen;XM;1990;250000;4;Benzin;2.0;80;;;;;20053;2022-05-01;2022-05-02;0;1250
Cadillac limuzina za svadbe i drugo...;Doboj;Korišteno;Cadillac;Deville;1999;60000;4;Benzin;3.2;110;;;1;;29081;2022-05-07;2022-05-07;0;19900
"Mercedes A170 CDI ; 2002 godiste, LONG, klima";Tuzla;Korišteno;Mercedes-Benz;A 170;2002;230000;4;Dizel;1.7;70;95;Euro 4;;;10443;2022-05-04;2022-05-04;1;6100
VW BORA 1.9 TDI;Derventa;Korišteno;Volkswagen;Bora;2000;260000;4;Dizel;1.9;66;90;Euro 3;1;;16653;2022-05-06;2022-05-06;0;6000
Alfa Romeo GT 1.9 JTD 16V;Ilijaš;Korišteno;Alfa Romeo;GT;2004;240000;2;Dizel;1.9;110;150;Euro 3;1;;8377;2022-04-15;2022-04-15;0;7500
Fiat Stilo 1.9 Dizel;Banja Luka;Korišteno;Fiat;Stilo;2002;350000;2;Dizel;1.9;85;;;1;;6039;2022-04-25;2022-04-25;0;3600
Golf 2;Sarajevo, Novi Grad;Korišteno;Volkswagen;Golf;1985;1200000;4;Plin;1.3;40;;Euro 3;;;19587;2022-04-18;2022-04-18;0;1199
Lancia libra;Zenica;Korišteno;Lancia;Lybra;1999;111111;4;Dizel;2.4;;;;1;;5209;2022-08-09;2022-08-10;0;5000
AUDI A6 3.2 FSI QUATTRO;Bijeljina;Korišteno;Audi;A6;2005;212186;4;Benzin;3.0;188;256;Euro 4;1;;21394;2022-04-22;2022-04-22;0;12900
Scenic grande 7 siceva model 2005;Sarajevo, Novi Grad;Korišteno;Renault;Grand Scenic;2004;227000;4;Dizel;1.9;77;105;Euro 3;1;;8170;2022-04-15;2022-04-15;0;3900
Fiat Ducato Kombinovani 5+1,;Vitez;Korišteno;Fiat;Ducato;2008;330000;4;Dizel;2.3;88;;;1;;21805;2022-05-17;2022-05-17;0;12950
Mazda 6;Sarajevo - Centar;Korišteno;Mazda;6;2003;213000;4;Dizel;2.0;100;136;Euro 3;1;;10479;2022-04-23;2022-04-23;0;3000
Golf 4 1.9 TDI;Lopare;Korišteno;Volkswagen;Golf;2001;306000;4;Dizel;1.9;85;;;1;;19646;2022-05-18;2022-05-18;0;5500
Alfa romeo 145;Mrkonjić Grad;Korišteno;Alfa Romeo;Alfa 145;2001;194000;2;Benzin;1.6;77;101;;1;;5687;2022-06-24;2022-06-24;0;1700
Smart for two Klima Webasto Panorama;Bihać;Korišteno;Smart;ForTwo;2002;120000;2;Benzin;0.8;45;61;Euro 4;1;;8471;2022-07-01;2022-07-01;0;6200
BMW 118d e87 LCI FACELIFT 105kw;Konjic;Korišteno;BMW;118;2009;260000;4;Dizel;2.0;105;;Euro 6;1;;2968;2022-04-17;2022-04-17;0;13000
Opel astra GTC 2009god kupljena u BIH moze zamjena;Novo Sarajevo;Korišteno;Opel;Astra;2009;180000;2;Benzin;1.6;85;115;Euro 4;1;;13049;2022-05-09;2022-05-09;0;7900
NISSAN 100 NX;Vogošća;Korišteno;Nissan;100 NX;1993;30000;2;Benzin;2.0;110;150;Euro 0;1;;31590;2022-04-18;2022-04-18;1;15000
GOLF 4;Sanski Most;Korišteno;Volkswagen;Golf;2001;130000;4;Benzin;1.4;55;;Euro 4;;;5530;2022-07-17;2022-07-17;0;6500
Reno laguna;Banja Luka;Korišteno;Renault;Laguna;2003;194000;4;Dizel;1.9;88;120;Euro 3;;;8770;2022-05-07;2022-05-07;0;3500
Skoda oktavia benzin plin;Milići;Korišteno;Škoda;Octavia;1998;304125;4;Plin;1.6;74;;Euro 3;1;;18753;2022-05-28;2016-02-15;0;3200
ŠKODA Oktavia 1.4;Novo Sarajevo;Korišteno;Škoda;Octavia;2003;133000;4;Benzin;1.4;55;75;Euro 4;1;;17791;2022-04-19;2016-02-19;0;6250
Mercedes E270 cdi;Gornji Vakuf - Uskoplje;Korišteno;Mercedes-Benz;E 270;2004;280000;4;Dizel;2.7;130;177;;1;;8096;2022-04-17;2016-02-23;0;9500
NISSAN X-Trail 2,0 dizel;Ilidža;Korišteno;Nissan;X-Trail;2007;165000;4;Dizel;2.0;11;;Euro 5;1;;25404;2022-09-09;2016-02-25;0;20000
Ford fokus 1.8 tdci,Extra stanje;Prijedor;Korišteno;Ford;Focus;2004;200000;4;Dizel;1.8;74;100;Euro 4;1;;8942;2022-05-01;2016-03-12;0;3850
Daewoo lanos. Moze zamjena!;Teslić;Korišteno;Daewoo;Lanos;2000;300000;4;Plin;1.5;63;;;1;;8864;2022-05-12;2016-03-25;0;3100
Reno 5 1.8 benz.89g.;Vogošća;Korišteno;Renault;R 5;1989;168000;4;Benzin;1.8;59;78;Euro 1;;;13349;2022-05-19;2016-04-09;0;2000
Hyundai lantra 1.6 16v;Brčko;Korišteno;Hyundai;Lantra;1998;137816;4;Plin;1.6;84;116;Euro 3;1;;9978;2022-05-29;2016-04-15;0;2800
Smart forfour;Gradiška;Korišteno;Smart;ForFour;2004;145000;4;Benzin;1.3;75;95;Euro 4;1;;6793;2022-04-24;2016-04-20;0;6900
OPEL VECTRA 1.9 cdti 2005;Zvornik;Korišteno;Opel;Vectra;2005;216000;4;Dizel;1.9;88;120;Euro 4;1;;10173;2022-04-19;2016-05-04;0;5500
Mitsubishi Colt 1.3 1998.;Zvornik;Korišteno;Mitsubishi;Colt;1998;294000;2;Benzin;1.3;55;;;;;10210;2022-04-21;2016-05-13;0;1750
BMW e65 730d facelift;Ljubuški;Korišteno;BMW;730;2005;300000;4;Dizel;3.0;170;230;Euro 4;1;;21312;2022-06-10;2016-05-14;0;12000
Audi A4 2.0 benzin 96kw Automatik;Bijeljina;Korišteno;Audi;A4;2004;272000;4;Benzin;2.0;96;130;Euro 4;1;;22051;2022-04-22;2016-05-15;0;7800
Volkswagen Passat Highline VI 1.9 TDI 77KW BKC oznaka;Prijedor;Korišteno;Volkswagen;Passat;2007;240000;4;Dizel;1.9;77;105;Euro 4;1;;12610;2022-07-05;2016-05-20;0;10900
Peugeot 308 1,6 E-hdi 6 brzina mod 2013;Brčko;Korišteno;Peugeot;308;2012;154000;4;Dizel;1.6;82;112;Euro 5;1;;15173;2022-05-05;2016-05-23;0;10900
Mercedes cls 320 cdi;Grude;Korišteno;Mercedes-Benz;CLS 320;2009;215000;4;Dizel;3.2;170;225;Euro 4;1;;14855;2022-08-19;2016-05-29;0;27000
Lancia kappa 2.4 Dizel;Novi Travnik;Korišteno;Lancia;Kappa;2001;417000;4;Dizel;2.4;100;130;Euro 2;1;;7279;2022-04-15;2016-06-12;0;1900
Audi A6;Sarajevo - Centar;Korišteno;Audi;A6;2003;285000;4;Dizel;2.5;120;163;Euro 4;1;;16212;2022-09-11;2016-06-17;0;6200
Fiat Panda 2005;Bihać;Korišteno;Fiat;Panda;2005;95000;4;Benzin;1.1;40;;Euro 4;1;;15088;2022-07-01;2016-06-19;0;5000
Mazda 6 2005;Petrovo;Korišteno;Mazda;6;2005;173000;4;Benzin;2.0;108;147;;;;18271;2022-05-09;2016-06-21;0;6000
Audi A4 kabriolet kabrio cabrio cabriolet;Tuzla;Korišteno;Audi;A4;2004;199500;2;Dizel;2.5;;;;;;15443;2022-04-18;2016-06-28;0;12500
Bmw e36 320i kupljen 1996 u Tomica u Zagrebu;Grad Mostar;Korišteno;BMW;320;1996;175500;4;Benzin;2.0;110;150;;1;;46018;2022-05-03;2016-07-01;0;12000
Bmw e46 facelift, 1.8 benzin, 2004.god;Banja Luka;Korišteno;BMW;318;2004;205000;4;Benzin;1.8;85;115;;1;;25313;2022-04-23;2016-07-09;0;6500
Audi A6 (2013) 2.0 TDI FULL KASKO;Tuzla;Korišteno;Audi;A6;2013;170000;4;Dizel;2.0;130;170;Euro 5;1;;21891;2022-06-03;2016-07-26;0;38999
Opel astra;Sarajevo, Novi Grad;Korišteno;Opel;Astra;2005;170000;4;Benzin;1.6;77;;Euro 4;1;;11308;2022-05-07;2016-08-09;0;5500
Audi A6 3.0 TDI quattro;Bratunac;Korišteno;Audi;A6;2006;330000;4;Dizel;3.0;155;;Euro 4;;;28888;2022-08-23;2016-08-18;0;14900
Mini Morris 1000;Banja Luka;Korišteno;MINI;1000;1971;68000;2;Benzin;1.0;29;;;1;;38828;2022-07-26;2016-08-21;0;195000
Mercedes-Benz G 300D;Vogošća;Korišteno;Mercedes-Benz;G 300;1985;140000;4;Dizel;3.0;88;90;;1;;82617;2022-05-28;2016-08-29;0;19500
Volvo V70 2.4 D5 2005 god.;Stari Grad;Korišteno;Volvo;V70;2005;200000;4;Dizel;2.4;136;180;;;;11740;2022-04-19;2016-08-30;0;7900
Bagi VW;Zenica;Korišteno;Volkswagen;Buggy;1971;145000;2;Benzin;1.2;25;34;Euro 0;1;;18582;2022-05-04;2016-08-31;0;13000
